algorithm_name,dataset_name,algorithm,leaf_size,n_neighbors,weights,mean_fit_time
kNN,make_regression,ball_tree,26,3,distance,0.003701289494832357
kNN,make_regression,ball_tree,26,4,uniform,0.0036751429239908853
kNN,make_regression,ball_tree,26,4,distance,0.0037566820780436196
kNN,make_regression,ball_tree,26,5,uniform,0.003682692845662435
kNN,make_regression,ball_tree,26,5,distance,0.0037239392598470054
kNN,make_regression,ball_tree,26,6,uniform,0.0036799112955729165
kNN,make_regression,ball_tree,26,6,distance,0.003658930460611979
kNN,make_regression,ball_tree,26,7,uniform,0.0036857128143310547
kNN,make_regression,ball_tree,26,7,distance,0.0037751197814941406
kNN,make_regression,ball_tree,26,8,uniform,0.0036943753560384116
kNN,make_regression,ball_tree,26,8,distance,0.003660281499226888
kNN,make_regression,ball_tree,26,9,uniform,0.0037039915720621743
kNN,make_regression,ball_tree,26,9,distance,0.0037320454915364585
kNN,make_regression,ball_tree,27,1,uniform,0.003629446029663086
kNN,make_regression,ball_tree,27,1,distance,0.0036192735036214194
kNN,make_regression,ball_tree,27,2,uniform,0.0036643346150716147
kNN,make_regression,ball_tree,27,2,distance,0.0037549336751302085
kNN,make_regression,ball_tree,27,3,uniform,0.003609180450439453
kNN,make_regression,ball_tree,27,3,distance,0.0036346912384033203
kNN,make_regression,ball_tree,27,4,uniform,0.0036766529083251953
kNN,make_regression,ball_tree,27,4,distance,0.003750006357828776
kNN,make_regression,ball_tree,27,5,uniform,0.0036116441090901694
kNN,make_regression,ball_tree,27,5,distance,0.003635565439860026
kNN,make_regression,ball_tree,27,6,uniform,0.003670295079549154
kNN,make_regression,ball_tree,27,6,distance,0.0037323633829752603
kNN,make_regression,ball_tree,27,7,uniform,0.003609259923299154
kNN,make_regression,ball_tree,27,7,distance,0.0036298433939615884
kNN,make_regression,ball_tree,27,8,uniform,0.0037494500478108725
kNN,make_regression,ball_tree,27,8,distance,0.0037473042805989585
kNN,make_regression,ball_tree,27,9,uniform,0.003615140914916992
kNN,make_regression,ball_tree,27,9,distance,0.0036340554555257163
kNN,make_regression,ball_tree,28,1,uniform,0.003758033116658529
kNN,make_regression,ball_tree,28,1,distance,0.003749370574951172
kNN,make_regression,ball_tree,28,2,uniform,0.0036223729451497397
kNN,make_regression,ball_tree,28,2,distance,0.003634293874104818
kNN,make_regression,ball_tree,28,3,uniform,0.003720362981160482
kNN,make_regression,ball_tree,28,3,distance,0.0037648677825927734
kNN,make_regression,ball_tree,28,4,uniform,0.0036379496256510415
kNN,make_regression,ball_tree,28,4,distance,0.0036276976267496743
kNN,make_regression,ball_tree,28,5,uniform,0.0036966800689697266
kNN,make_regression,ball_tree,28,5,distance,0.0037588278452555337
kNN,make_regression,ball_tree,28,6,uniform,0.003638029098510742
kNN,make_regression,ball_tree,28,6,distance,0.0036346912384033203
kNN,make_regression,ball_tree,28,7,uniform,0.003721952438354492
kNN,make_regression,ball_tree,28,7,distance,0.003775437672932943
kNN,make_regression,ball_tree,28,8,uniform,0.0036203861236572266
kNN,make_regression,ball_tree,28,8,distance,0.003629763921101888
kNN,make_regression,ball_tree,28,9,uniform,0.0036989053090413413
kNN,make_regression,ball_tree,28,9,distance,0.0037588278452555337
kNN,make_regression,ball_tree,29,1,uniform,0.003625154495239258
kNN,make_regression,ball_tree,29,1,distance,0.0036490758260091147
kNN,make_regression,ball_tree,29,2,uniform,0.003710508346557617
kNN,make_regression,ball_tree,29,2,distance,0.003751039505004883
kNN,make_regression,ball_tree,29,3,uniform,0.0036547978719075522
kNN,make_regression,ball_tree,29,3,distance,0.003651301066080729
kNN,make_regression,ball_tree,29,4,uniform,0.003670215606689453
kNN,make_regression,ball_tree,29,4,distance,0.003701289494832357
kNN,make_regression,ball_tree,29,5,uniform,0.003655115763346354
kNN,make_regression,ball_tree,29,5,distance,0.0036880970001220703
kNN,make_regression,ball_tree,29,6,uniform,0.0036923885345458984
kNN,make_regression,ball_tree,29,6,distance,0.0037174224853515625
kNN,make_regression,ball_tree,29,7,uniform,0.0036714871724446616
kNN,make_regression,ball_tree,29,7,distance,0.01025549570719401
kNN,make_regression,ball_tree,29,8,uniform,0.0036807854970296225
kNN,make_regression,ball_tree,29,8,distance,0.003787517547607422
kNN,make_regression,ball_tree,29,9,uniform,0.0037146409352620444
kNN,make_regression,ball_tree,29,9,distance,0.003636598587036133
kNN,make_regression,ball_tree,30,1,uniform,0.003715674082438151
kNN,make_regression,ball_tree,30,1,distance,0.0037305355072021484
kNN,make_regression,ball_tree,30,2,uniform,0.0037184556325276694
kNN,make_regression,ball_tree,30,2,distance,0.003636439641316732
kNN,make_regression,ball_tree,30,3,uniform,0.003623406092325846
kNN,make_regression,ball_tree,30,3,distance,0.0037796497344970703
kNN,make_regression,ball_tree,30,4,uniform,0.0036917527516682944
kNN,make_regression,ball_tree,30,4,distance,0.003659327824910482
kNN,make_regression,ball_tree,30,5,uniform,0.0036431153615315757
kNN,make_regression,ball_tree,30,5,distance,0.003731330235799154
kNN,make_regression,ball_tree,30,6,uniform,0.0036870638529459634
kNN,make_regression,ball_tree,30,6,distance,0.0036499500274658203
kNN,make_regression,ball_tree,30,7,uniform,0.0036368370056152344
kNN,make_regression,ball_tree,30,7,distance,0.003730932871500651
kNN,make_regression,ball_tree,30,8,uniform,0.003688653310139974
kNN,make_regression,ball_tree,30,8,distance,0.0036628246307373047
kNN,make_regression,ball_tree,30,9,uniform,0.0036209424336751304
kNN,make_regression,ball_tree,30,9,distance,0.0037338733673095703
kNN,make_regression,ball_tree,31,1,uniform,0.003674586613972982
kNN,make_regression,ball_tree,31,1,distance,0.0036192735036214194
kNN,make_regression,ball_tree,31,2,uniform,0.0036733150482177734
kNN,make_regression,ball_tree,31,2,distance,0.003727992375691732
kNN,make_regression,ball_tree,31,3,uniform,0.0037036736806233725
kNN,make_regression,ball_tree,31,3,distance,0.0036461353302001953
kNN,make_regression,ball_tree,31,4,uniform,0.0036636988321940103
kNN,make_regression,ball_tree,31,4,distance,0.0037328402201334634
kNN,make_regression,ball_tree,31,5,uniform,0.0037724971771240234
kNN,make_regression,ball_tree,31,5,distance,0.00365296999613444
kNN,make_regression,ball_tree,31,6,uniform,0.003629763921101888
kNN,make_regression,ball_tree,31,6,distance,0.0037573973337809243
kNN,make_regression,ball_tree,31,7,uniform,0.003714402516682943
kNN,make_regression,ball_tree,31,7,distance,0.0036769707997639975
kNN,make_regression,ball_tree,31,8,uniform,0.003623406092325846
kNN,make_regression,ball_tree,31,8,distance,0.0037163098653157554
kNN,make_regression,ball_tree,31,9,uniform,0.003720521926879883
kNN,make_regression,ball_tree,31,9,distance,0.003670771916707357
kNN,make_regression,ball_tree,32,1,uniform,0.0032973289489746094
kNN,make_regression,ball_tree,32,1,distance,0.0033228397369384766
kNN,make_regression,ball_tree,32,2,uniform,0.0033391316731770835
kNN,make_regression,ball_tree,32,2,distance,0.003308455149332682
kNN,make_regression,ball_tree,32,3,uniform,0.003371159235636393
kNN,make_regression,ball_tree,32,3,distance,0.003309011459350586
kNN,make_regression,ball_tree,32,4,uniform,0.0033415953318277993
kNN,make_regression,ball_tree,32,4,distance,0.0033049583435058594
kNN,make_regression,ball_tree,32,5,uniform,0.00335693359375
kNN,make_regression,ball_tree,32,5,distance,0.0033763249715169272
kNN,make_regression,ball_tree,32,6,uniform,0.003383159637451172
kNN,make_regression,ball_tree,32,6,distance,0.003326416015625
kNN,make_regression,ball_tree,32,7,uniform,0.0033562183380126953
kNN,make_regression,ball_tree,32,7,distance,0.003305196762084961
kNN,make_regression,ball_tree,32,8,uniform,0.0033578872680664062
kNN,make_regression,ball_tree,32,8,distance,0.003323237101236979
kNN,make_regression,ball_tree,32,9,uniform,0.003257910410563151
kNN,make_regression,ball_tree,32,9,distance,0.0033273696899414062
kNN,make_regression,ball_tree,33,1,uniform,0.003304560979207357
kNN,make_regression,ball_tree,33,1,distance,0.00332029660542806
kNN,make_regression,ball_tree,33,2,uniform,0.003322124481201172
kNN,make_regression,ball_tree,33,2,distance,0.003340482711791992
kNN,make_regression,ball_tree,33,3,uniform,0.003319819768269857
kNN,make_regression,ball_tree,33,3,distance,0.003341039021809896
kNN,make_regression,ball_tree,33,4,uniform,0.0032898585001627603
kNN,make_regression,ball_tree,33,4,distance,0.0033784707387288413
kNN,make_regression,ball_tree,33,5,uniform,0.0033034483591715493
kNN,make_regression,ball_tree,33,5,distance,0.0033585230509440103
kNN,make_regression,ball_tree,33,6,uniform,0.0032962958017985025
kNN,make_regression,ball_tree,33,6,distance,0.003370364507039388
kNN,make_regression,ball_tree,33,7,uniform,0.003353118896484375
kNN,make_regression,ball_tree,33,7,distance,0.0033171971638997397
kNN,make_regression,ball_tree,33,8,uniform,0.0033031304677327475
kNN,make_regression,ball_tree,33,8,distance,0.0033339659372965493
kNN,make_regression,ball_tree,33,9,uniform,0.0033326148986816406
kNN,make_regression,ball_tree,33,9,distance,0.0033682982126871743
kNN,make_regression,ball_tree,34,1,uniform,0.0033233165740966797
kNN,make_regression,ball_tree,34,1,distance,0.0033500989278157554
kNN,make_regression,ball_tree,34,2,uniform,0.0033636887868245444
kNN,make_regression,ball_tree,34,2,distance,0.0033159255981445312
kNN,make_regression,ball_tree,34,3,uniform,0.0032993952433268228
kNN,make_regression,ball_tree,34,3,distance,0.0033386548360188804
kNN,make_regression,ball_tree,34,4,uniform,0.0033129056294759116
kNN,make_regression,ball_tree,34,4,distance,0.003305514653523763
kNN,make_regression,ball_tree,34,5,uniform,0.0032892227172851562
kNN,make_regression,ball_tree,34,5,distance,0.0033674240112304688
kNN,make_regression,ball_tree,34,6,uniform,0.0033632914225260415
kNN,make_regression,ball_tree,34,6,distance,0.003317117691040039
kNN,make_regression,ball_tree,34,7,uniform,0.0032720565795898438
kNN,make_regression,ball_tree,34,7,distance,0.003422419230143229
kNN,make_regression,ball_tree,34,8,uniform,0.0033953984578450522
kNN,make_regression,ball_tree,34,8,distance,0.0033327738444010415
kNN,make_regression,ball_tree,34,9,uniform,0.003312349319458008
kNN,make_regression,ball_tree,34,9,distance,0.003382126490275065
kNN,make_regression,kd_tree,25,1,uniform,0.003201166788736979
kNN,make_regression,kd_tree,25,1,distance,0.0031890074412027993
kNN,make_regression,kd_tree,25,2,uniform,0.0031412442525227866
kNN,make_regression,kd_tree,25,2,distance,0.0032052993774414062
kNN,make_regression,kd_tree,25,3,uniform,0.0031425158182779946
kNN,make_regression,kd_tree,25,3,distance,0.0031861464182535806
kNN,make_regression,kd_tree,25,4,uniform,0.0031717618306477866
kNN,make_regression,kd_tree,25,4,distance,0.003167231877644857
kNN,make_regression,kd_tree,25,5,uniform,0.0033165613810221353
kNN,make_regression,kd_tree,25,5,distance,0.0032173792521158853
kNN,make_regression,kd_tree,25,6,uniform,0.0031789143880208335
kNN,make_regression,kd_tree,25,6,distance,0.003165642420450846
kNN,make_regression,kd_tree,25,7,uniform,0.00315244992574056
kNN,make_regression,kd_tree,25,7,distance,0.0031856695810953775
kNN,make_regression,kd_tree,25,8,uniform,0.003179311752319336
kNN,make_regression,kd_tree,25,8,distance,0.0031607945760091147
kNN,make_regression,kd_tree,25,9,uniform,0.0032341480255126953
kNN,make_regression,kd_tree,25,9,distance,0.0032067298889160156
kNN,make_regression,kd_tree,26,1,uniform,0.0031273365020751953
kNN,make_regression,kd_tree,26,1,distance,0.003178199132283529
kNN,make_regression,kd_tree,26,2,uniform,0.0033295154571533203
kNN,make_regression,kd_tree,26,2,distance,0.0031627019246419272
kNN,make_regression,kd_tree,26,3,uniform,0.0030798117319742837
kNN,make_regression,kd_tree,26,3,distance,0.0032106240590413413
kNN,make_regression,kd_tree,26,4,uniform,0.003223896026611328
kNN,make_regression,kd_tree,26,4,distance,0.0031984647115071616
kNN,make_regression,kd_tree,26,5,uniform,0.003118594487508138
kNN,make_regression,kd_tree,26,5,distance,0.003217935562133789
kNN,make_regression,kd_tree,26,6,uniform,0.0031890869140625
kNN,make_regression,kd_tree,26,6,distance,0.00315093994140625
kNN,make_regression,kd_tree,26,7,uniform,0.003127574920654297
kNN,make_regression,kd_tree,26,7,distance,0.003227710723876953
kNN,make_regression,kd_tree,26,8,uniform,0.003299156824747721
kNN,make_regression,kd_tree,26,8,distance,0.0031780401865641275
kNN,make_regression,kd_tree,26,9,uniform,0.0031495094299316406
kNN,make_regression,kd_tree,26,9,distance,0.003209670384724935
kNN,make_regression,kd_tree,27,1,uniform,0.0031943321228027344
kNN,make_regression,kd_tree,27,1,distance,0.003179311752319336
kNN,make_regression,kd_tree,27,2,uniform,0.0031458536783854165
kNN,make_regression,kd_tree,27,2,distance,0.003221909205118815
kNN,make_regression,kd_tree,27,3,uniform,0.003138462702433268
kNN,make_regression,kd_tree,27,3,distance,0.003168503443400065
kNN,make_regression,kd_tree,27,4,uniform,0.0031258265177408853
kNN,make_regression,kd_tree,27,4,distance,0.003187417984008789
kNN,make_regression,kd_tree,27,5,uniform,0.0031932195027669272
kNN,make_regression,kd_tree,27,5,distance,0.0031696160634358725
kNN,make_regression,kd_tree,27,6,uniform,0.0031288464864095054
kNN,make_regression,kd_tree,27,6,distance,0.0031730333964029946
kNN,make_regression,kd_tree,27,7,uniform,0.003174304962158203
kNN,make_regression,kd_tree,27,7,distance,0.0031533241271972656
kNN,make_regression,kd_tree,27,8,uniform,0.0031442642211914062
kNN,make_regression,kd_tree,27,8,distance,0.003171682357788086
kNN,make_regression,kd_tree,27,9,uniform,0.003206173578898112
kNN,make_regression,kd_tree,27,9,distance,0.003171682357788086
kNN,make_regression,kd_tree,28,1,uniform,0.0031264623006184897
