algorithm_name,dataset_name,max_depth,max_features,min_samples_leaf,n_estimators,mean_fit_time
Random Forest,make_moons,1,auto,3,150,0.20106077194213867
Random Forest,make_moons,1,auto,3,151,0.20233702659606934
Random Forest,make_moons,1,auto,3,152,0.20490113894144693
Random Forest,make_moons,1,auto,3,153,0.20589725176493326
Random Forest,make_moons,1,auto,3,154,0.20647287368774414
Random Forest,make_moons,1,auto,3,155,0.20817081133524576
Random Forest,make_moons,1,auto,3,156,0.2106811205546061
Random Forest,make_moons,1,auto,3,157,0.2122946580251058
Random Forest,make_moons,1,auto,3,158,0.21141990025838217
Random Forest,make_moons,1,auto,3,159,0.21321328481038412
Random Forest,make_moons,1,auto,3,160,0.2262104352315267
Random Forest,make_moons,1,auto,3,161,0.21692840258280435
Random Forest,make_moons,1,auto,3,162,0.21703815460205078
Random Forest,make_moons,1,auto,3,163,0.2192103068033854
Random Forest,make_moons,1,auto,3,164,0.22078299522399902
Random Forest,make_moons,1,auto,3,165,0.2216958999633789
Random Forest,make_moons,1,auto,3,166,0.22227851549784342
Random Forest,make_moons,1,auto,3,167,0.22375853856404623
Random Forest,make_moons,1,auto,3,168,0.225477933883667
Random Forest,make_moons,1,auto,3,169,0.22762608528137207
Random Forest,make_moons,1,auto,3,170,0.2272350788116455
Random Forest,make_moons,1,auto,3,171,0.2298151652018229
Random Forest,make_moons,1,auto,3,172,0.23326897621154785
Random Forest,make_moons,1,auto,3,173,0.23278276125590006
Random Forest,make_moons,1,auto,3,174,0.23295466105143228
Random Forest,make_moons,1,auto,3,175,0.23429409662882486
Random Forest,make_moons,1,auto,3,176,0.2371967633565267
Random Forest,make_moons,1,auto,3,177,0.23856139183044434
Random Forest,make_moons,1,auto,3,178,0.23881292343139648
Random Forest,make_moons,1,auto,3,179,0.23964341481526694
Random Forest,make_moons,1,auto,3,180,0.24158215522766113
Random Forest,make_moons,1,auto,3,181,0.2425851821899414
Random Forest,make_moons,1,auto,3,182,0.24347464243570963
Random Forest,make_moons,1,auto,3,183,0.2443997859954834
Random Forest,make_moons,1,auto,3,184,0.25775861740112305
Random Forest,make_moons,1,auto,3,185,0.24884955088297525
Random Forest,make_moons,1,auto,3,186,0.2489744027455648
Random Forest,make_moons,1,auto,3,187,0.2505904833475749
Random Forest,make_moons,1,auto,3,188,0.25268133481343585
Random Forest,make_moons,1,auto,3,189,0.2546693483988444
Random Forest,make_moons,1,auto,3,190,0.254283348719279
Random Forest,make_moons,1,auto,3,191,0.25566768646240234
Random Forest,make_moons,1,auto,3,192,0.25739630063374835
Random Forest,make_moons,1,auto,3,193,0.2593050003051758
Random Forest,make_moons,1,auto,3,194,0.2598104476928711
Random Forest,make_moons,1,auto,3,195,0.26092076301574707
Random Forest,make_moons,1,auto,3,196,0.26290464401245117
Random Forest,make_moons,1,auto,3,197,0.2745804786682129
Random Forest,make_moons,1,auto,3,198,0.2654252847035726
Random Forest,make_moons,1,auto,3,199,0.26793615023295086
